用户,点赞数,发表时间,热门评论
盼你三秋,217022,2019-09-25 11:01:41,"我生于中国🇨🇳，我骄傲！我爱你！中国！我爱这片土地~爱这片土地上可爱的人们"
小房子1900,148159,2019-09-25 10:19:35,李谷一老师表达的是对祖国气势恢宏的爱。而王菲版本表达的是对当今幸福生活的满足感，对祖国那种欣喜的爱，这种爱是欢快的，轻盈的，飞舞在蓝天下流淌在山水间，王菲以一种哼唱的方式传递这种愉悦轻松的心情恰到好处
用户274684461,106888,2019-09-25 10:40:46,我是一名国家铁路普铁工作者，我在乌局的百里风区上班，有时候真的很羡慕高铁的人啊，鲜花和掌声都是他们的，而我们面对的只有风沙和油污，其实想想，高铁沐浴阳光，普铁在暗处承载着国家经济命脉，有根有花才完美
宇宙大美男,55384,2019-09-25 10:31:51,根正苗红北京大妞王女士携经典红歌正式营业，工作人员问王菲新歌封面的事儿，王菲打开ins看了看：没自拍了
稻草小柒,36057,2019-09-25 19:06:55,"祝我的祖国生日快乐 👏👏👏
从小听王菲老师的歌曲长大
长大后也有幸成为了一名音乐学者
长路漫漫 踏歌而行……"
是小浪er,32826,2019-09-25 13:12:53,讲真的 这是鄙人 人生第一次单曲循环一首红歌[钟情]
建筑界公认良心发际线高度标准,31534,2019-09-25 10:08:18,真的谢谢王菲，她第一次让我对这首歌产生共情。为什么会有祖国？因为有着每一个你我，以及你我足下那方土地。
王乐酒馆,23370,2019-09-25 10:07:30,菲说我现在最大的烦恼就是：太「红」了。（双关）
想做梦的梦,19938,2019-09-26 12:10:56,这盛世 如您所愿
梼杌_-_,18725,2019-09-25 11:07:55,"您看到了吗，飞机再也不用飞两遍了！
这盛世如您所愿，山河犹在国泰民安！"
火锅法则,17379,2019-09-25 10:29:43,"洗尽铅华，返璞归真
低吟浅唱，婉转空灵
春华秋实，娓娓道来"
纪海年泊,16552,2019-09-25 10:32:31,恭喜阿菲2019工作已完成 2020再接再厉
好老攻,13678,2019-09-25 19:10:42,"长江黄河润华夏，五岳千载壮神州
如水年华七十载，画卷更迭几度秋
盛世闪耀中国梦，三江五岳迎国庆
祖国献寿民同乐，国运昌盛天地贺
歌颂祖国山河壮，生日快乐高歌唱
五千文明中国龙，神州飞天奔月情
此生无悔入华夏，来生愿在种花家
🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳"
今天依旧没睡饱的墩墩,12804,2019-09-25 12:49:28,今天画室下课以后同学告诉我“王菲献唱《我和我的祖国》”我激动得赶紧拿出来听！把耳机开大声 ，轻盈地走在校园里，我想是骑着单车，穿过乡村，麦田，城市……我看过稻麦金黄，看过高楼大厦，看过人流如织，也看过辽阔晴空。我真觉世间美好，回头，原来是我和我的祖国[爱心]
高雄啸,9488,2019-09-26 14:10:25,真的太好听了！真的太棒了！！作为一名国人音乐制作人  我真的好骄傲！我真的好感动！！祝愿祖国繁荣富强 一起加油💪
